"Rec";"REClow";"REClowmed";"RECmix"
"Rule";"HCR7";"HCR7";"HCR7"
"round(Median_B1plus[period == \"initial\"]/1000, 0)";"363";"512";"475"
"round(Median_B1plus[period == \"short\"]/1000, 0)";"363";"578";"546"
"round(Median_B1plus[period == \"last\"]/1000, 0)";"368";"678";"676"
"round(Median_F[period == \"initial\"], 3)";"0";"0";"0"
"round(Median_F[period == \"short\"], 3)";"0";"0";"0"
"round(Median_F[period == \"last\"], 3)";"0";"0";"0"
"round(Median_Catch[period == \"initial\"]/1000, 0)";"0";"0";"0"
"round(Median_Catch[period == \"short\"]/1000, 0)";"0";"0";"0"
"round(Median_Catch[period == \"last\"]/1000, 0)";"0";"0";"0"
"round(IAV1_Catch[period == \"initial\"]/1000, 0)";"0";"0";"0"
"round(IAV1_Catch[period == \"short\"]/1000, 0)";"0";"0";"0"
"round(IAV1_Catch[period == \"last\"]/1000, 0)";"0";"0";"0"
"round(closure[period == \"initial\"] * 100, 0)";"83";"82";"81"
"round(closure[period == \"short\"] * 100, 0)";"83";"82";"81"
"round(closure[period == \"last\"] * 100, 0)";"83";"82";"81"
"round(firstyear_B1plus_Blim[period == \"all\"], 0)";NA;"2023";"2028"
"round(firstyear_B1plus_Blow[period == \"all\"], 0)";"2021";"2021";"2021"
"round(max_P_B1plus_Blim[period == \"last\"] * 100, 0)";"31";" 0";" 0"
"round(max_P_B1plus_Blow[period == \"last\"] * 100, 0)";"0";"0";"0"
