"Rec";"REClowmed";"REClowmed";"REClowmed";"RECmix"
"catch";"catch40";"catch45";"catch50";"catch50"
"Rule";"HCR8";"HCR8";"HCR8";"HCR8"
"round(Median_B1plus[period == \"initial\"]/1000, 0)";"470";"467";"465";"419"
"round(Median_B1plus[period == \"short\"]/1000, 0)";"509";"503";"498";"450"
"round(Median_B1plus[period == \"last\"]/1000, 0)";"565";"553";"542";"527"
"round(Median_F[period == \"initial\"], 3)";"0.079";"0.085";"0.091";"0.088"
"round(Median_F[period == \"short\"], 3)";"0.076";"0.084";"0.091";"0.087"
"round(Median_F[period == \"last\"], 3)";"0.072";"0.082";"0.091";"0.089"
"round(Median_Catch[period == \"initial\"]/1000, 0)";"40";"45";"46";"39"
"round(Median_Catch[period == \"short\"]/1000, 0)";"40";"45";"50";"45"
"round(Median_Catch[period == \"last\"]/1000, 0)";"40";"45";"50";"50"
"round(IAV1_Catch[period == \"initial\"]/1000, 0)";"3";"5";"6";"7"
"round(IAV1_Catch[period == \"short\"]/1000, 0)";"2";"3";"4";"5"
"round(IAV1_Catch[period == \"last\"]/1000, 0)";"1";"1";"2";"3"
"round(closure[period == \"initial\"] * 100, 0)";"0";"0";"0";"0"
"round(closure[period == \"short\"] * 100, 0)";"0";"0";"0";"0"
"round(closure[period == \"last\"] * 100, 0)";"0";"0";"0";"0"
"round(P_B1plus_0.8Blim[period == \"initial\"] * 100, 0)";"98";"98";"98";"89"
"round(P_B1plus_0.8Blow[period == \"initial\"] * 100, 0)";"100";"100";"100";"100"
"round(firstyear_B1plus_0.8Blim[period == \"all\"], 0)";"2021";"2021";"2021";"2021"
"round(firstyear_B1plus_0.8Blow[period == \"all\"], 0)";"2021";"2021";"2021";"2021"
"round(firstyear_B1plus_Blim[period == \"all\"], 0)";"2024";"2024";"2024";NA
"round(firstyear_B1plus_Blow[period == \"all\"], 0)";"2021";"2021";"2021";"2021"
"round(max_P_B1plus_Blim[period == \"last\"] * 100, 0)";" 2";" 2";" 3";"10"
"round(max_P_B1plus_Blow[period == \"last\"] * 100, 0)";"0";"0";"0";"0"
