"Rec";"REClow";"REClow";"REClow";"REClowmed";"REClowmed";"REClowmed"
"catch";"catch40";"catch45";"catch50";"catch40";"catch45";"catch50"
"Rule";"HCR8";"HCR8";"HCR8";"HCR8";"HCR8";"HCR8"
"round(Median_B1plus[period == \"initial\"]/1000, 0)";"324";"319";"319";"472";"470";"466"
"round(Median_B1plus[period == \"short\"]/1000, 0)";"299";"290";"287";"506";"498";"494"
"round(Median_B1plus[period == \"last\"]/1000, 0)";"242";"204";" 52";"561";"553";"532"
"round(Median_F[period == \"initial\"], 3)";"0.125";"0.142";"0.156";"0.082";"0.090";"0.097"
"round(Median_F[period == \"short\"], 3)";"0.141";"0.165";"0.188";"0.079";"0.089";"0.099"
"round(Median_F[period == \"last\"], 3)";"0.178";"0.243";"1.010";"0.073";"0.084";"0.098"
"round(Median_Catch[period == \"initial\"]/1000, 0)";"40";"45";"50";"40";"45";"50"
"round(Median_Catch[period == \"short\"]/1000, 0)";"40";"45";"50";"40";"45";"50"
"round(Median_Catch[period == \"last\"]/1000, 0)";"40";"45";"36";"40";"45";"50"
"round(IAV1_Catch[period == \"initial\"]/1000, 0)";"2";"3";"4";"3";"4";"5"
"round(IAV1_Catch[period == \"short\"]/1000, 0)";"1";"2";"2";"1";"2";"2"
"round(IAV1_Catch[period == \"last\"]/1000, 0)";"0";"1";"1";"0";"0";"0"
"round(closure[period == \"initial\"] * 100, 0)";"0";"0";"0";"0";"0";"0"
"round(closure[period == \"short\"] * 100, 0)";"0";"0";"0";"0";"0";"0"
"round(closure[period == \"last\"] * 100, 0)";"0";"0";"0";"0";"0";"0"
"round(P_B1plus_0.8Blim[period == \"initial\"] * 100, 0)";"84";"79";"80";"98";"98";"98"
"round(P_B1plus_0.8Blow[period == \"initial\"] * 100, 0)";"100";"100";"100";"100";"100";"100"
"round(firstyear_B1plus_0.8Blim[period == \"all\"], 0)";"2021";"2021";"2021";"2021";"2021";"2021"
"round(firstyear_B1plus_0.8Blow[period == \"all\"], 0)";"2021";"2021";"2021";"2021";"2021";"2021"
"round(firstyear_B1plus_Blim[period == \"all\"], 0)";NA;NA;NA;"2027";"2030";"2032"
"round(firstyear_B1plus_Blow[period == \"all\"], 0)";"2021";"2021";"2021";"2021";"2021";"2021"
"round(max_P_B1plus_Blim[period == \"last\"] * 100, 0)";"91";"95";"98";" 2";" 4";" 6"
"round(max_P_B1plus_Blow[period == \"last\"] * 100, 0)";"31";"52";"75";" 0";" 1";" 1"
